IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,28552,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,firebaseinstallations.googleapis.com,82,194,1,1,2026-05-01T02:40:04.776-04:00,2026-05-01T02:40:04.967-04:00
17,10.215.173.1,63439,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,firebaseinstallations.googleapis.com,82,274,1,1,2026-05-01T02:40:04.781-04:00,2026-05-01T02:40:04.980-04:00
6,10.215.173.1,49206,108.177.122.95,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,firebaseinstallations.googleapis.com,847,3502,7,7,2026-05-01T02:40:04.992-04:00,2026-05-01T02:40:05.226-04:00
6,10.215.173.1,55808,74.125.136.95,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,firebaseinstallations.googleapis.com,847,3503,7,7,2026-05-01T02:40:05.178-04:00,2026-05-01T02:40:05.412-04:00
6,10.215.173.1,60340,173.194.219.95,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,firebaseinstallations.googleapis.com,807,3464,6,6,2026-05-01T02:40:05.368-04:00,2026-05-01T02:40:05.587-04:00
6,10.215.173.1,60044,74.125.138.95,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,firebaseinstallations.googleapis.com,847,3503,7,7,2026-05-01T02:40:05.534-04:00,2026-05-01T02:40:05.757-04:00
6,10.215.173.1,52964,142.250.9.95,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,firebaseinstallations.googleapis.com,847,3504,7,7,2026-05-01T02:40:05.712-04:00,2026-05-01T02:40:05.931-04:00
6,10.215.173.1,37482,142.251.15.95,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,firebaseinstallations.googleapis.com,807,3463,6,6,2026-05-01T02:40:05.882-04:00,2026-05-01T02:40:06.091-04:00
17,10.215.173.1,60695,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,config.edge.skype.com,67,242,1,1,2026-05-01T02:40:06.034-04:00,2026-05-01T02:40:06.078-04:00
17,10.215.173.1,18521,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,config.edge.skype.com,67,230,1,1,2026-05-01T02:40:06.037-04:00,2026-05-01T02:40:06.079-04:00
6,10.215.173.1,42490,64.233.176.95,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,firebaseinstallations.googleapis.com,807,3463,6,6,2026-05-01T02:40:06.057-04:00,2026-05-01T02:40:06.285-04:00
6,10.215.173.1,57256,150.171.22.17,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,config.edge.skype.com,784,8390,6,6,2026-05-01T02:40:06.088-04:00,2026-05-01T02:41:06.596-04:00
6,10.215.173.1,58196,172.253.124.95,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,firebaseinstallations.googleapis.com,807,3462,6,6,2026-05-01T02:40:06.225-04:00,2026-05-01T02:40:06.437-04:00
6,10.215.173.1,56976,74.125.21.95,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,firebaseinstallations.googleapis.com,847,3503,7,7,2026-05-01T02:40:06.386-04:00,2026-05-01T02:40:06.576-04:00
6,10.215.173.1,58624,172.217.215.95,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,firebaseinstallations.googleapis.com,807,3463,6,6,2026-05-01T02:40:06.533-04:00,2026-05-01T02:40:06.745-04:00
6,fd00:2:fd00:1:fd00:1:fd00:1,58844,2620:1ec:50::17,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,config.edge.skype.com,904,8510,6,6,2026-05-01T02:40:06.718-04:00,2026-05-01T02:41:11.615-04:00
17,10.215.173.1,55904,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,dc.services.visualstudio.com,74,519,1,1,2026-05-01T02:40:07.010-04:00,2026-05-01T02:40:07.081-04:00
17,10.215.173.1,9931,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,dc.services.visualstudio.com,74,492,1,1,2026-05-01T02:40:07.016-04:00,2026-05-01T02:40:07.059-04:00
17,10.215.173.1,57904,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,242,1,1,2026-05-01T02:40:07.068-04:00,2026-05-01T02:40:07.118-04:00
17,10.215.173.1,46006,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,198,1,1,2026-05-01T02:40:07.071-04:00,2026-05-01T02:40:07.118-04:00
6,10.215.173.1,53902,52.188.247.149,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,dc.services.visualstudio.com,1241,8899,8,9,2026-05-01T02:40:07.088-04:00,2026-05-01T02:40:07.339-04:00
6,10.215.173.1,32978,20.189.173.17,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1205,6691,7,8,2026-05-01T02:40:07.130-04:00,2026-05-01T02:40:07.624-04:00
6,10.215.173.1,53914,52.188.247.149,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,dc.services.visualstudio.com,1321,9059,10,13,2026-05-01T02:40:10.081-04:00,2026-05-01T02:40:10.347-04:00
6,10.215.173.1,57260,150.171.22.17,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,config.edge.skype.com,784,8390,6,6,2026-05-01T02:40:11.576-04:00,2026-05-01T02:41:11.615-04:00
6,10.215.173.1,53916,52.188.247.149,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,dc.services.visualstudio.com,1241,8939,8,10,2026-05-01T02:40:12.442-04:00,2026-05-01T02:40:12.658-04:00
17,10.215.173.1,28589,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,201,1,1,2026-05-01T02:40:13.225-04:00,2026-05-01T02:40:13.277-04:00
6,10.215.173.1,35214,13.89.179.8,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1245,8982,8,9,2026-05-01T02:40:13.286-04:00,2026-05-01T02:40:13.649-04:00
17,10.215.173.1,6764,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,dc.services.visualstudio.com,74,492,1,1,2026-05-01T02:40:15.202-04:00,2026-05-01T02:40:15.249-04:00
6,10.215.173.1,59578,52.179.73.59,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,dc.services.visualstudio.com,1241,8900,8,9,2026-05-01T02:40:15.259-04:00,2026-05-01T02:40:15.497-04:00
17,10.215.173.1,13003,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,198,1,1,2026-05-01T02:40:21.635-04:00,2026-05-01T02:40:21.698-04:00
6,10.215.173.1,39058,20.189.173.18,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1205,6691,7,8,2026-05-01T02:40:21.705-04:00,2026-05-01T02:40:22.211-04:00
17,10.215.173.1,6139,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,dc.services.visualstudio.com,74,492,1,1,2026-05-01T02:40:24.440-04:00,2026-05-01T02:40:24.497-04:00
6,10.215.173.1,33754,52.188.247.149,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,dc.services.visualstudio.com,1201,8859,7,8,2026-05-01T02:40:24.503-04:00,2026-05-01T02:40:24.747-04:00
6,10.215.173.1,33756,52.188.247.149,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,dc.services.visualstudio.com,1201,8859,7,8,2026-05-01T02:40:24.781-04:00,2026-05-01T02:40:25.029-04:00
6,10.215.173.1,44676,150.171.22.17,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,config.edge.skype.com,784,8390,6,6,2026-05-01T02:40:38.921-04:00,2026-05-01T02:41:41.906-04:00
17,10.215.173.1,40288,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,198,1,1,2026-05-01T02:40:40.075-04:00,2026-05-01T02:40:40.159-04:00
6,10.215.173.1,55896,52.168.117.169,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1205,8942,7,8,2026-05-01T02:40:40.166-04:00,2026-05-01T02:40:40.428-04:00
17,10.215.173.1,59386,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,dc.services.visualstudio.com,74,519,1,1,2026-05-01T02:40:48.073-04:00,2026-05-01T02:40:48.139-04:00
17,10.215.173.1,23133,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,dc.services.visualstudio.com,74,492,1,1,2026-05-01T02:40:48.081-04:00,2026-05-01T02:40:48.148-04:00
6,10.215.173.1,52488,52.188.247.149,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,dc.services.visualstudio.com,1241,8939,8,10,2026-05-01T02:40:48.158-04:00,2026-05-01T02:40:48.398-04:00
6,10.215.173.1,52490,52.188.247.149,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,dc.services.visualstudio.com,1241,8939,8,10,2026-05-01T02:40:48.297-04:00,2026-05-01T02:40:48.538-04:00
17,10.215.173.1,60781,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,242,1,1,2026-05-01T02:41:29.150-04:00,2026-05-01T02:41:29.204-04:00
17,10.215.173.1,55589,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,203,1,1,2026-05-01T02:41:29.153-04:00,2026-05-01T02:41:29.213-04:00
6,10.215.173.1,59288,20.50.73.13,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1205,6692,7,8,2026-05-01T02:41:29.218-04:00,2026-05-01T02:41:29.715-04:00
17,10.215.173.1,42055,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,dc.services.visualstudio.com,74,519,1,1,2026-05-01T02:41:29.866-04:00,2026-05-01T02:41:29.915-04:00
17,10.215.173.1,10630,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,dc.services.visualstudio.com,74,494,1,1,2026-05-01T02:41:29.872-04:00,2026-05-01T02:41:29.923-04:00
6,10.215.173.1,41612,52.179.73.39,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,dc.services.visualstudio.com,1201,8858,7,8,2026-05-01T02:41:29.931-04:00,2026-05-01T02:41:30.183-04:00
6,10.215.173.1,41622,52.179.73.39,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,dc.services.visualstudio.com,1241,8938,8,10,2026-05-01T02:41:30.546-04:00,2026-05-01T02:41:30.784-04:00
6,10.215.173.1,43442,20.50.73.13,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1245,6732,8,9,2026-05-01T02:41:37.130-04:00,2026-05-01T02:41:37.634-04:00
17,10.215.173.1,30313,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,201,1,1,2026-05-01T02:41:42.584-04:00,2026-05-01T02:41:42.645-04:00
6,10.215.173.1,52044,13.89.179.8,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1205,8942,7,8,2026-05-01T02:41:42.650-04:00,2026-05-01T02:41:42.966-04:00
6,10.215.173.1,45468,13.89.179.8,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1205,8942,7,8,2026-05-01T02:41:48.632-04:00,2026-05-01T02:41:48.945-04:00
17,10.215.173.1,59116,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,201,1,1,2026-05-01T02:41:56.702-04:00,2026-05-01T02:41:56.747-04:00
